date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
01/01/2015,1006,0.0,8.67,192.0,10.05,80.9,0.0067927,13.73
02/01/2015,1015,0.0,6.71,235.7,3.89,77.8,0.0200801,13.91
03/01/2015,1020,0.0,3.31,251.7,3.41,77.3,0.0251443,13.91
04/01/2015,1028,0.0,3.33,212.6,4.37,75.3,0.0268974,13.89
05/01/2015,1019,0.0,3.49,159.0,7.91,86.9,0.0195930,13.79
06/01/2015,1012,0.0,4.36,209.4,5.48,83.0,0.0285005,13.84
07/01/2015,1004,0.0,8.25,190.4,7.76,80.0,0.0150970,13.81
08/01/2015,1007,0.0,6.37,216.0,4.26,79.0,0.0266580,13.89
09/01/2015,999,0.2,8.02,239.2,7.69,77.4,0.0125773,13.81
10/01/2015,998,0.1,7.79,241.0,4.04,83.4,0.0233017,13.90
11/01/2015,1005,0.0,7.00,232.5,3.37,86.4,0.0101849,13.94
12/01/2015,992,0.0,8.72,205.7,4.83,75.4,0.0209268,13.89
13/01/2015,990,0.0,5.85,203.3,1.44,77.2,0.0321024,13.97
14/01/2015,986,0.0,6.92,185.4,2.03,75.5,0.0268142,13.96
15/01/2015,966,0.0,9.76,198.9,4.78,70.6,0.0124570,13.89
16/01/2015,994,0.0,5.84,237.8,1.32,75.0,0.0354895,13.97
17/01/2015,1003,0.0,3.01,236.5,0.76,86.4,0.0257033,13.99
18/01/2015,1012,0.0,3.08,272.2,1.29,72.4,0.0289702,13.98
19/01/2015,1013,0.0,0.87,164.7,-0.19,72.2,0.0370114,13.98
20/01/2015,1007,0.0,0.33,88.0,-0.38,81.0,0.0247753,14.03
21/01/2015,1009,0.0,0.05,38.2,0.05,81.5,0.0287667,14.02
22/01/2015,1019,0.0,1.42,110.7,1.53,82.4,0.0363291,13.95
23/01/2015,1011,0.0,5.84,201.7,4.54,82.9,0.0268090,13.89
24/01/2015,1019,0.0,4.70,236.7,3.05,79.4,0.0420941,13.92
25/01/2015,1018,0.0,5.44,212.3,7.40,82.4,0.0194799,13.80
26/01/2015,1018,0.0,4.29,244.4,4.72,76.4,0.0401663,13.87
27/01/2015,1017,0.0,4.79,226.8,6.01,85.0,0.0255646,13.84
28/01/2015,989,0.0,6.56,231.0,2.49,86.2,0.0239789,13.94
29/01/2015,975,0.0,4.54,243.9,-0.16,83.9,0.0499741,14.03
30/01/2015,975,0.0,4.38,254.0,1.50,77.2,0.0543631,13.96
31/01/2015,829,0.0,3.52,257.7,2.20,56.4,0.0289013,10.31
02/02/2015,496,0.0,1.08,130.1,0.34,33.2,0.0181204,6.70
03/02/2015,1012,0.0,2.47,234.9,0.21,72.9,0.0220500,13.97
04/02/2015,1023,0.0,3.06,260.9,1.16,65.9,0.0393082,13.96
05/02/2015,1029,0.0,1.55,148.4,4.31,74.5,0.0484768,13.86
06/02/2015,1034,0.0,0.54,102.0,3.67,80.9,0.0616624,13.87
07/02/2015,1038,0.0,1.31,182.9,3.40,81.6,0.0593256,13.92
08/02/2015,1036,0.0,3.97,223.7,4.70,78.1,0.0700079,13.88
09/02/2015,1031,0.0,5.59,246.1,5.98,85.0,0.0741626,13.83
10/02/2015,1028,0.0,3.79,238.7,3.99,89.2,0.0214643,13.87
11/02/2015,1020,0.0,3.11,223.1,3.14,83.9,0.0158986,13.90
12/02/2015,1014,0.0,1.47,122.5,4.23,75.2,0.0490944,13.88
13/02/2015,1000,0.0,2.07,103.9,3.91,84.1,0.0466486,13.87
14/02/2015,1007,0.0,0.39,38.2,5.28,99.1,0.0211159,13.82
15/02/2015,1011,0.0,1.27,104.5,6.56,81.8,0.0727281,13.80
16/02/2015,1011,0.0,4.16,222.8,4.45,81.7,0.0607335,13.87
17/02/2015,1027,0.0,7.04,223.3,4.90,76.7,0.0881581,13.86
18/02/2015,1021,0.0,6.63,181.5,8.86,82.6,0.0632327,13.74
19/02/2015,1007,0.0,6.26,221.8,6.15,77.3,0.0777275,13.82
20/02/2015,999,0.0,4.68,236.2,2.88,83.8,0.0774490,13.92
21/02/2015,997,0.0,3.80,252.0,2.07,80.5,0.0956917,13.94
22/02/2015,988,0.0,4.15,161.6,2.31,87.8,0.0297306,13.95
23/02/2015,973,0.0,8.03,197.2,2.75,77.0,0.0770452,13.93
24/02/2015,992,0.0,6.40,243.4,3.06,77.3,0.0789083,13.92
25/02/2015,1007,0.0,3.47,182.6,4.98,83.6,0.0633128,13.87
26/02/2015,1003,0.0,6.36,223.0,5.41,78.2,0.0921545,13.83
27/02/2015,1008,0.0,5.90,197.8,3.90,76.3,0.0754061,13.89
28/02/2015,991,0.0,6.27,190.2,6.87,81.9,0.0497747,13.81
01/03/2015,984,0.0,7.56,235.2,3.45,81.6,0.0962918,13.90
02/03/2015,995,0.0,5.73,233.9,1.54,80.3,0.0934000,13.96
03/03/2015,1003,0.0,6.44,221.4,1.77,79.1,0.1170676,13.96
04/03/2015,1023,0.0,5.09,249.3,4.52,70.2,0.1180839,13.86
05/03/2015,1027,0.0,7.39,218.8,7.69,74.6,0.0939971,13.78
06/03/2015,1017,0.0,7.84,192.3,8.14,72.3,0.0706687,13.77
07/03/2015,1005,0.0,10.16,191.5,10.40,82.0,0.0988897,13.72
08/03/2015,1013,0.0,6.41,231.1,6.66,72.9,0.1144183,13.81
09/03/2015,1012,0.0,6.60,173.9,5.36,72.4,0.0581726,13.87
10/03/2015,1024,0.0,4.37,227.9,5.07,67.5,0.1139713,13.85
11/03/2015,1021,0.0,3.35,155.8,4.27,74.8,0.0767245,13.91
