date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
01/01/2015 00,59944,0,460.77,12790.8,537.6,4161.3,0,811.25
01/01/2015 01,60937,0,503.62,12659,551.1,4124.2,0,825
01/01/2015 02,60893,0,506.62,11550.2,544.03,4099.4,0,825.29
01/01/2015 03,60895,0,508.6,11292.6,579.84,3917.5,0,824.81
01/01/2015 04,60852,0,556.8,11373.2,599.89,4080.1,0,824.39
01/01/2015 05,60812,0,461.9,11812.5,597.68,4186.8,0,824.14
01/01/2015 06,60780,0,476.51,11069.4,606.09,4223.6,0,823.81
01/01/2015 07,60780,0,487.61,11071.2,581.58,4521.6,0,824.57
01/01/2015 08,60728,0.2,428.5,10739.8,546.1,4854.4,0.0266364,825.59
01/01/2015 09,60607,0.6,407.66,10096.4,518.14,5162.7,0.4942532,826.31
01/01/2015 10,60479,1.8,466.02,9798,554.69,5314.6,1.9119016,826.22
01/01/2015 11,60299,1,663.05,10196.4,574.5,5111.4,1.8882248,826.2
01/01/2015 12,60235,0.4,599.5,10339.8,604.91,5091.9,2.5023418,825.78
01/01/2015 13,60168,2.2,633.42,10866.3,651.49,5179.5,1.302224,824.88
01/01/2015 14,60120,0.6,619.82,10588.9,687.33,5172,1.2119562,824.07
01/01/2015 15,60087,0.8,544.82,10310.8,677.18,5341.5,0.3373944,823.39
01/01/2015 16,60018,0.4,493.28,10346.2,660.65,5467.2,0.0133182,823.25
01/01/2015 17,59926,0,502.86,10219.7,677.13,5401,0.0133182,823.26
01/01/2015 18,59860,0.2,563.76,10253.5,705.54,5394.2,0,822.82
01/01/2015 19,59820,1.2,574.06,11188.9,763.94,5197.6,0.0177576,821.92
01/01/2015 20,59899,2.4,468.59,14030.9,690.62,5463.5,0.036995,821.79
01/01/2015 21,59977,1.2,512.21,14333.9,588.5,5387.2,0.0103586,823.32
01/01/2015 22,60062,4,545.89,14744.6,534.85,4829.6,0.014798,824.52
01/01/2015 23,60186,0.2,496.27,14865.2,440.73,4837.8,0,826.66
02/01/2015 00,60290,0,444.44,14703.1,387.15,4490.1,0,827.9
02/01/2015 01,60383,1,436.55,14780.1,321.96,4729.3,0.0014798,830.13
02/01/2015 02,60459,0,434.59,14431.8,277.48,4535.5,0,831.87
02/01/2015 03,60555,0,422.48,14618.9,242.38,4426.2,0,832.79
02/01/2015 04,60628,0.2,394.74,14494.4,203.54,4660.8,0,833.99
02/01/2015 05,60680,0.4,369.26,14228,159.52,5172.6,0,835.34
02/01/2015 06,60730,0.2,412.63,13955.8,201.88,4783.9,0,835.92
02/01/2015 07,60808,0.2,349.03,15003.5,196.53,4867,0.0029596,836.04
02/01/2015 08,60857,0.2,336.02,14652.7,204.53,4712.2,0.1953336,836.32
02/01/2015 09,60930,0,367,14288.2,237.99,4403.2,1.8704672,835.89
02/01/2015 10,60989,0.6,403.06,14724.5,250.38,4218.8,5.6173202,834.55
02/01/2015 11,61107,3.4,365.9,15513.4,149.71,5027.4,3.6491862,835.41
02/01/2015 12,61146,0.4,324.47,14538.6,109.47,5498,6.666496,836.38
02/01/2015 13,61200,0.6,336.34,14799.2,134.34,5138.6,5.7801024,836.3
02/01/2015 14,61200,0,296.97,14696.9,186.41,4536.6,4.408324,835.21
02/01/2015 15,61235,0,310.09,14460.5,217.67,4056.9,0.7147434,835.15
02/01/2015 16,61260,0,214.53,14313.5,208.06,4383.8,0,835.44
02/01/2015 17,61260,0,273.34,13396.2,210.83,4582.8,0,835.39
02/01/2015 18,61227,0,351.82,12490.3,213.21,4874.3,0.0059192,835.47
02/01/2015 19,61145,0.4,526.35,12680.6,251.49,4761.1,0,835.36
02/01/2015 20,61090,3,607.94,12661.2,299.07,4429.9,0.0029596,834.77
02/01/2015 21,61072,2,573.05,12822,321.46,4326.8,0,833.27
02/01/2015 22,61032,2.2,556.81,13449.5,320.22,4486.3,0,833.39
02/01/2015 23,61026,2.6,551.26,13749.3,299.29,4952.6,0,833.39
03/01/2015 00,61005,0.4,541.88,13534.2,296.6,5030.4,0,833.37
03/01/2015 01,61003,0,490.99,13698.5,303.69,4928.1,0,832.62
03/01/2015 02,60995,0,376.81,14153.2,311.24,5010.4,0,832.19
03/01/2015 03,60960,0,334.07,13889.3,301.34,4946.3,0,832.18
03/01/2015 04,60960,0,279.32,14746.9,291.13,5116.1,0,832.49
03/01/2015 05,60960,0,201.01,15244.2,277.82,5031.3,0,833.25
03/01/2015 06,60960,0,147.09,15830.4,241.28,4992.6,0,833.4
03/01/2015 07,60960,0,132.67,15810.2,215.82,5007.8,0,834.03
03/01/2015 08,60960,0,110.59,15622.3,196.03,4849.9,0.0902678,835.15
03/01/2015 09,61013,0,92.25,14557.8,169.45,4902.7,0.9337538,836.41
03/01/2015 10,61041,0,94.57,15708.6,146.56,4904,2.8338172,837.16
03/01/2015 11,61072,0,149.78,15167.4,189.25,4680.5,9.016414,834.58
03/01/2015 12,61080,0,113.57,15814.7,230.97,4332.1,9.627579,831.54
03/01/2015 13,61112,0,80.82,15729.9,245.91,4339.9,8.13446,830.11
03/01/2015 14,61176,0,140.11,16409.6,239.56,4076.7,4.7516374,830.08
03/01/2015 15,61252,0,137.78,15727.4,194.95,4117.3,0.8198092,832.45
03/01/2015 16,61273,0,158.25,15039.6,151.56,4382.1,0,835.21
03/01/2015 17,61336,0,157.8,15001.1,149.93,4380,0,836.57
03/01/2015 18,61398,0,172.11,15337.1,149.23,4309,0,837.33
03/01/2015 19,61469,0,160.44,14994.8,132.05,4381.7,0,837.97
03/01/2015 20,61500,0,174,14949.2,139.11,4374,0,838.19
03/01/2015 21,61528,0,184.34,15038.9,121.41,4372.2,0,838.58
03/01/2015 22,61599,0,175.3,15150.4,111.78,4415.4,0,839.02
03/01/2015 23,61634,0,156.25,15244.4,109.71,4498,0,839.4
04/01/2015 00,61680,0,139.38,14580,107.28,4573.5,0,839.44
04/01/2015 01,61680,0,45.22,10184.7,137.47,4539.1,0,839.71
04/01/2015 02,61718,0,47.18,11894.2,131.51,4450.4,0,839.4
04/01/2015 03,61740,0,93.09,12293.8,196.36,4129.9,0,838.09
04/01/2015 04,61725,0,197.98,13413.8,222.45,4159.9,0,836.62
04/01/2015 05,61740,0,232.3,13594.4,222.15,4175.2,0,835.73
04/01/2015 06,61740,0,292.68,13841.4,214.46,4117.4,0,835.5
04/01/2015 07,61740,0,272.46,13567.3,236.22,4050.3,0,835.2
04/01/2015 08,61758,0,215.61,14644.3,232.59,4221.1,0.1169042,835.2
04/01/2015 09,61800,0,250.3,14149.2,250.72,4117,2.2670536,835.01
04/01/2015 10,61799,0,292.45,13410.5,298.01,3950,6.565873,833.29
04/01/2015 11,61750,0,202.84,10743.3,316.39,3968.4,9.046017,830.55
04/01/2015 12,61734,0,202.84,12086.2,313.21,4171.3,9.828841,829.14
04/01/2015 13,61739,0,249.11,13569.5,311.56,4367.9,8.0678696,828.04
04/01/2015 14,61736,0,294.23,13648.4,255.9,4700.8,2.5926092,829.49
04/01/2015 15,61683,0,269.61,13979.2,256.02,4927.3,0.2456468,830.79
04/01/2015 16,61676,0,267.11,13812.8,281.05,4999.8,0.0014798,831.03
04/01/2015 17,61623,0,237.44,13485.1,297.18,5041.7,0,831.06
