date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
01/01/2015 00,999,0,7.68,213.2,8.96,69.4,0,13.52
01/01/2015 01,1016,0,8.39,211,9.18,68.7,0,13.75
01/01/2015 02,1015,0,8.44,192.5,9.07,68.3,0,13.75
01/01/2015 03,1015,0,8.48,188.2,9.66,65.3,0,13.75
01/01/2015 04,1014,0,9.28,189.6,10,68,0,13.74
01/01/2015 05,1014,0,7.7,196.9,9.96,69.8,0,13.74
01/01/2015 06,1013,0,7.94,184.5,10.1,70.4,0,13.73
01/01/2015 07,1013,0,8.13,184.5,9.69,75.4,0,13.74
01/01/2015 08,1012,0,7.14,179,9.1,80.9,0.0004439,13.76
01/01/2015 09,1010,0,6.79,168.3,8.64,86,0.0082376,13.77
01/01/2015 10,1008,0,7.77,163.3,9.24,88.6,0.031865,13.77
01/01/2015 11,1005,0,11.05,169.9,9.57,85.2,0.0314704,13.77
01/01/2015 12,1004,0,9.99,172.3,10.08,84.9,0.0417057,13.76
01/01/2015 13,1003,0,10.56,181.1,10.86,86.3,0.0217037,13.75
01/01/2015 14,1002,0,10.33,176.5,11.46,86.2,0.0201993,13.73
01/01/2015 15,1001,0,9.08,171.8,11.29,89,0.0056232,13.72
01/01/2015 16,1000,0,8.22,172.4,11.01,91.1,0.000222,13.72
01/01/2015 17,999,0,8.38,170.3,11.29,90,0.000222,13.72
01/01/2015 18,998,0,9.4,170.9,11.76,89.9,0,13.71
01/01/2015 19,997,0,9.57,186.5,12.73,86.6,0.000296,13.7
01/01/2015 20,998,0,7.81,233.8,11.51,91.1,0.0006166,13.7
01/01/2015 21,1000,0,8.54,238.9,9.81,89.8,0.0001726,13.72
01/01/2015 22,1001,0.1,9.1,245.7,8.91,80.5,0.0002466,13.74
01/01/2015 23,1003,0,8.27,247.8,7.35,80.6,0,13.78
02/01/2015 00,1005,0,7.41,245.1,6.45,74.8,0,13.8
02/01/2015 01,1006,0,7.28,246.3,5.37,78.8,0.0000247,13.84
02/01/2015 02,1008,0,7.24,240.5,4.62,75.6,0,13.86
02/01/2015 03,1009,0,7.04,243.6,4.04,73.8,0,13.88
02/01/2015 04,1010,0,6.58,241.6,3.39,77.7,0,13.9
02/01/2015 05,1011,0,6.15,237.1,2.66,86.2,0,13.92
02/01/2015 06,1012,0,6.88,232.6,3.36,79.7,0,13.93
02/01/2015 07,1013,0,5.82,250.1,3.28,81.1,0.0000493,13.93
02/01/2015 08,1014,0,5.6,244.2,3.41,78.5,0.0032556,13.94
02/01/2015 09,1016,0,6.12,238.1,3.97,73.4,0.0311745,13.93
02/01/2015 10,1016,0,6.72,245.4,4.17,70.3,0.093622,13.91
02/01/2015 11,1018,0.1,6.1,258.6,2.5,83.8,0.0608198,13.92
02/01/2015 12,1019,0,5.41,242.3,1.82,91.6,0.1111083,13.94
02/01/2015 13,1020,0,5.61,246.7,2.24,85.6,0.096335,13.94
02/01/2015 14,1020,0,4.95,244.9,3.11,75.6,0.0734721,13.92
02/01/2015 15,1021,0,5.17,241,3.63,67.6,0.0119124,13.92
02/01/2015 16,1021,0,3.58,238.6,3.47,73.1,0,13.92
02/01/2015 17,1021,0,4.56,223.3,3.51,76.4,0,13.92
02/01/2015 18,1020,0,5.86,208.2,3.55,81.2,0.0000987,13.92
02/01/2015 19,1019,0,8.77,211.3,4.19,79.4,0,13.92
02/01/2015 20,1018,0.1,10.13,211,4.98,73.8,0.0000493,13.91
02/01/2015 21,1018,0,9.55,213.7,5.36,72.1,0,13.89
02/01/2015 22,1017,0,9.28,224.2,5.34,74.8,0,13.89
02/01/2015 23,1017,0,9.19,229.2,4.99,82.5,0,13.89
03/01/2015 00,1017,0,9.03,225.6,4.94,83.8,0,13.89
